"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2024","78.45","77.68","78.64","77.10","3.55M","1.05%"
"09/11/2024","77.64","77.73","78.09","77.00","2.20M","-0.12%"
"09/10/2024","77.73","77.73","78.13","77.27","2.98M","0.00%"
"09/09/2024","77.73","77.68","78.06","77.09","4.28M","0.46%"
"09/08/2024","77.37","79.45","79.55","77.27","2.49M","-2.62%"
"09/05/2024","79.45","79.09","79.55","78.82","2.67M","0.46%"
"09/04/2024","79.09","79.05","79.52","78.18","2.42M","0.08%"
"09/03/2024","79.03","78.87","79.03","77.64","3.71M","0.92%"
"09/02/2024","78.31","78.82","79.72","78.22","2.86M","-0.46%"
"09/01/2024","78.67","79.20","79.95","78.38","1.30M","-0.62%"
"08/29/2024","79.16","80.10","80.80","79.16","8.91M","-1.60%"
"08/28/2024","80.45","80.14","80.90","80.09","2.03M","0.40%"
"08/27/2024","80.14","79.73","81.55","79.45","4.70M","0.18%"
"08/26/2024","79.99","79.84","80.34","79.18","3.65M","0.19%"
"08/25/2024","79.84","80.72","80.72","79.73","1.07M","-1.09%"
"08/22/2024","80.72","79.09","80.72","78.20","5.72M","2.06%"
"08/21/2024","79.09","78.54","79.09","78.28","3.29M","0.71%"
"08/20/2024","78.54","76.36","78.63","76.28","3.80M","2.82%"
"08/19/2024","76.38","76.82","77.00","76.38","2.48M","-0.92%"
"08/18/2024","77.09","77.27","77.27","76.40","532.71K","-0.24%"
"08/15/2024","77.27","76.36","77.27","76.36","4.58M","1.19%"
"08/14/2024","76.36","75.45","76.45","75.45","5.08M","1.17%"
"08/13/2024","75.48","76.73","76.73","75.19","4.65M","-1.66%"
"08/12/2024","76.75","75.68","77.09","75.55","4.09M","1.65%"
"08/11/2024","75.51","74.82","75.73","74.55","692.99K","0.92%"
"08/08/2024","74.82","75.00","75.73","74.55","1.47M","-0.11%"
"08/07/2024","74.90","75.00","75.18","74.45","4.35M","0.21%"
"08/06/2024","74.75","74.53","75.18","74.09","2.95M","0.27%"
"08/05/2024","74.55","74.55","75.45","72.89","5.61M","-1.20%"
"08/04/2024","75.45","74.55","75.45","73.94","2.06M","-0.60%"
"08/01/2024","75.91","75.75","76.45","75.75","6.69M","0.25%"
"07/31/2024","75.72","74.73","75.88","74.64","5.46M","1.31%"
"07/30/2024","74.74","74.55","74.99","74.22","4.76M","0.26%"
"07/29/2024","74.55","74.55","75.27","74.18","3.00M","0.00%"
"07/28/2024","74.55","74.06","74.55","73.64","1.51M","0.80%"
"07/24/2024","73.95","73.82","74.82","73.82","3.93M","0.18%"
"07/23/2024","73.82","73.18","74.31","72.82","6.29M","0.74%"
"07/22/2024","73.27","71.84","73.64","71.84","4.48M","2.68%"
"07/21/2024","71.36","70.71","72.05","70.57","2.08M","1.00%"
"07/18/2024","70.65","71.45","71.45","70.64","2.98M","-0.37%"
"07/17/2024","70.92","70.55","71.55","70.50","3.12M","0.52%"
"07/16/2024","70.55","71.36","71.55","70.53","4.04M","-1.13%"
"07/15/2024","71.36","71.61","71.81","70.82","2.51M","-0.36%"
"07/14/2024","71.62","71.82","72.27","71.13","705.47K","-0.28%"
"07/10/2024","71.82","71.64","72.73","71.36","3.52M","0.38%"
"07/09/2024","71.55","72.64","73.00","71.36","3.48M","-1.50%"
"07/08/2024","72.64","73.63","74.44","72.27","3.09M","-1.35%"
"07/07/2024","73.63","72.73","74.35","72.27","2.20M","1.24%"
"07/04/2024","72.73","70.45","72.73","70.23","5.57M","2.89%"
"07/03/2024","70.68","70.12","70.91","70.12","4.44M","0.80%"
"07/02/2024","70.12","71.00","71.64","70.02","3.39M","-1.14%"
"07/01/2024","70.93","70.35","71.68","70.00","4.12M","0.80%"
"06/27/2024","70.36","69.09","70.45","68.87","6.49M","1.91%"
